INT	STRING
ID	字符串
0	你被玩家: %s 杀死
1	您杀死了%s，因为其杀人太多，遭受惩罚。其身上的装备掉落在附近，请注意寻找。
2	@*;SrvMsg;GLD:本帮商人#{_INFOUSR%s}在进行商人任务的过程中，不幸被#G[%s]#W帮会的#{_INFOUSR%s}所劫杀，价值#{_MONEY%d}的银票与商品尽数丢失，好不令人懊恼。
3	@*;SrvMsg;GLD:本帮商人#{_INFOUSR%s}在进行商人任务的过程中，不幸被#{_INFOUSR%s}所劫杀，价值#{_MONEY%d}的银票与商品尽数丢失，好不令人懊恼。
4	遭受到不明攻击，您现在进入正当防卫状态！
5	物品已被锁定，无法鉴定
6	回购列表
7	背包
8	疲劳状态下不能接受任务。
9	您已经成功的发送决斗请求，等待对方的回应。
10	#R当杀气值大于等于10的时候将会强行被送入监狱。
11	二
12	三
13	四
14	五
15	六
16	之
17	角色功能已经回复，请自觉遵守游戏规则，祝您游戏愉快！
18	#Y很抱歉的通知您，因为您%s的#B[%s]#Y已经过了有效期，已经被系统删除。
19	道具包中
20	材料包中
21	身上
22	银行中
23	目标服务器无法响应
24	目标场景人数已满
25	您已经在传送中了
26	您需要移动一下才能传送
27	您由于使用了外挂，无法传送场景！
28	您被限制自由，无法传送，%d分钟后恢复！
29	目标场景不可用
30	目标城市不可用
31	目标服务器人数已满
